"product","rating","helpful","reviewdate","user","summary","content"
"3791504649","5","11","2003-02-17","guest","Die wilden Hühner und die Liebe","Mindestens genauso gelungen wie die anderen Bände dieser Reihe!&lt;BR&gt;Kurz zum Inhalt:&lt;BR&gt;Sprotte kann es nicht glauben: Ihre Mutter will doch tatsächlich den Klugscheißer heiraten! Nur gut das sie Fred hat,mit dem sie über alles reden kann. Doch nicht nur sie hat Probleme: Frieda sieht Maik kaum noch und ist darüber sehr betrübt, Willi hat mit Melanie Schluss gemacht, was diese nicht begreifen kann und Wilma hat sich auch noch in ein Mädchen verliebt! Zu allem Überfluss taucht überraschend auch noch Sprottes Vater auf.....&lt;P&gt;Mir hat das Buch super gefallen, ich konnte gar nicht genug davon kriegen!&lt;BR&gt;Hoffentlich schreibt Cornelia Funke noch einen Band der &quot;Wilden Hühner&quot;. Ich hoffe es....... :-)"
"3789143073","5","5","2001-05-15","guest","klasse Kinderbuch","es gibt dazu eine sehr gelungene hörspielfassung"
"3937825010","5","1","2005-11-14","chrisb3980","Teil 2 ist fast besser als der erste Teil...","Also wir haben uns jetzt auch den 2. Teil angehört.. Kuschelig gemacht und einfach zugehört.. Alles andere kommt dann von allein .. Lasst euch inspirieren."
"345317738X","5","0","2005-12-03","guest","Super Buch!!!","Die Geschichte fängt spannend an und die charaktere sind ausgeprägt beschrieben. Ich kann das Buch jedem empfehlen, der gerne Bücher mit Liebe, Spannung und Abwechslung liest!!!!"
"3937825061","5","1","2005-11-07","chrisb3980","Partner-Geeignet...","Habe ich mit meinem Partner zusammen geh&amp;#246;rt und wir waren sehr angeregt von den Schilderungen. Echt empfehlenswert."
"3423709634","5","5","2001-05-15","guest","klasse Kinderbuch","es gibt dazu eine sehr gelungene hörspielfassung"
"3499213362","5","5","2005-09-20","_froeschle_","Spannend","Ich fand dieses Buch sehr spannend und phantasievoll!&lt;BR&gt;Tolles Ende, für jedes Kind bis ca. 10 Jahre!"
"3466457513","5","11","2002-04-02","familieloehr","ein sehr schönes Buch für das erste Lebensjahr","Es fastziniert mich immer wieder: wenn ich in dem Buch rumstöber verspüre ich den Drang in das nächste Bastelgeschäft zu fahren um eines der schönen Spielsachen nachzubasteln für meinen Kleinen. Ich bin beim basteln total unkreativ und habe wenig Lust dazu, deshalb ist das Buch genau das richtige für mich. Es gibt dort soviele Anregungen wie man auch mit kleinem Geldbeutel was zum spielen für die Kleinen basteln kann und das ohne großen Aufwand. Ein muß für jede junge Mama!!"
"3938276010","5","1","2005-04-14","m_u_w_i_s","einfach überzeugend","Diese CD macht einfach Spass. Vokabeln und Redewendungen lernen ohne Langeweile. Da freut man sich auf den nächsten Song.&lt;BR&gt;...auch fürs Joggen geeignet.&lt;P&gt;Es gibt nix vergleichbares.&lt;BR&gt;Ich hoffe Vol 2-6 sind genauso gut."
"3789119547","5","2","2001-11-24","utekerner","Lustig und interessant geschrieben","Sehr empfehlenswert. Lustig und interessant geschrieben. Für große und kleine Leser."
"3522119800","4","5","2002-03-29","freeuser1202","Fortsetzung der Hotzenplotz-Reihe","Es ist ein Buch für kleine aber auch große Leser. Das Buch ist auch &lt;BR&gt;sehr gut zum Vorlesen geignet."
"3897771136","5","11","2002-10-23","kuk-versand","Einfach Klasse!","Viele tolle Ideen für's ganze Jahr. Jedes Experment ist&lt;BR&gt;klar beschrieben und gut erklärt. Dazu viel Hintergrundwissen für neugierige Kinder. Unseren Kindern hat dieses Buch wirklich gut gefallen."
"3505120464","5","3","2002-02-19","mareikes_mail","Keine Reihenfolge","Also ich finde Hanni und Nanni super , aber in den Sammelbänden erscheinen die Geschichten fast nie in der Original Reihenfolge."
"3811221191","5","19","2003-02-17","sylviajohhoffmann","Muß man haben!!!!!","Einfach ein tolles Buch mit einer dazugehörigen CD.&lt;BR&gt;Mein Sohn 6, kann nicht genug davon haben.&lt;BR&gt;Jeden Tag aufs Neue.&lt;BR&gt;Tolle Idee Kindern Klassik so beizubringen.&lt;BR&gt;Spitze!!!!!"
"3423620927","5","18","2001-06-02","guest","Ein Hörgenuss für die ganze Familie.","Wer Nero Corleone liebt, wird auch diese Geschichten lieben! Exellent nuancenreich vorgetragen von Elke Heidenreich selbst, gibt man sich bereitwillig der Erzählung hin, erwischt sich beim Schmunzeln und ist erstaunt, wie leichtfüßig und humorvoll, so ganz ohne &quot;pädagogischen Zeigefinger&quot; einem &quot;das wirkliche Leben&quot; parallel geführt wird. Egal ob 8 oder 80, ein Hörgenuss für die ganze Familie!"
"3551372144","5","8","2004-08-15","guest","Supertolles Kinderbuch!!","Die Geschichten vom Frieder und seiner Oma sind wirklich spitze!Meine Tochter hat alle drei Bücher und ich muß sie immer wieder vorlesen.Das sind ihre absoluten Lieblingsbücher!&lt;BR&gt;Und ich lese sie auch immer wieder gerne vor!"
"3570129942","5","1","2004-05-26","kasparmanuel","Tom Sawyer ein echt klasse Buch","Intressante Geschichte. Die mit der Geschichte von Huckle Berry Finn zusammenhängt. Wer diese Art von Büchern mag, dem wird dies hier super gefallen."
"3522177606","5","0","2005-09-05","torbenrinkegmxnet","supergut","Mein neues Lieblingsbuch! It's Showtime, Mick! ist ganz locker, witzig und chaotisch geschrieben. Kauft euch dieses wunderschönes Buch!"
"3473581852","4","0","2001-03-10","guest","lesenswert","Interessant wie die Gefühle einen leiten. In diesem Buch richtig gut beschrieben!"
"3789143227","5","3","2004-11-27","kimi78581","lillis supercoup","ich finde bücher generell toll ."
"344007983X","4","1","2002-01-26","thais105","Was ich ganz gut fand","wie der Erfinder sich immer verkleidet hat und die Fragen fand ich gut, die die drei Kids lösen sollten."
"3785551843","4","3","2005-09-28","otto2150","Luft zum Frühstück- Jana Frey","ich finde das Buch super. Es ist gut beschrieben wie ein mensch leicht reinrutschen kann in die magersucht und manchmal wird es so herzzerreißend, dass auch mal ein Tränchen läuft."
"B000005E4K","5","22","2003-11-07","haleluja","Weihnachtsoratorium","Eine sehr gute, fesselnde Aufnahme. Meiner Meinung nach musikalisch perfekt interpretiert. Die Choräle werden nicht zu langsam sondern zügig gesungen. Sehr gute Solisten. Gutes Zusammenspiel zwischen Solisten und Orchester. Auf jeden Fall empfehlenswert."
"B00004STZB","4","44","2002-09-02","jakob_k","Spannungsvolle Entspannung...","Eine sehr schön zusammengestellte Auswahl einiger sehr bekannter und beliebter Klavierstücke. Drei themenartig sortierte CDs umfasst das Ganze, die Musik ist von einigen unbekannten, aber durchaus guten Pianisten eingespielt. Genau das Richtige um etwas auszuspannen, sich mit Klaviermusik vertraut zu machen oder einfach so zum Schwelgen und Genießen...&lt;P&gt;Für den Preis, absolut empfehlenswert!"
"B000028DW8","5","0","2005-11-07","hkl2000","Genuß","Als Barockmusik-Liebhaber kann ich diese CD nur empfehlen;es sind auch nicht so alltägliche Stücke darauf,und für mich ist diese CD ein Genuß."
"B0000A1170","1","4","2003-12-10","meischerr","sehr überflüssig","Bei dieser Aufnahme dürfte es sich um die überflüssigste Produktion des 21. Jahrhunderts handeln: Bachverhunzung übelster Art nach der Häppchen-Methode."
"B?0000IX6O","5","0","2005-11-06","gottlos1977","Himmlisch","Mit diesesr CD fühlt man sicj ins 12 Jahrhundert zurück versetzt. Eine sehr schöne Stimme bringt Minneliedern das Leben zurück. Sehr gut finde ich auch die übersetztung der texte in englische im Booklet."
"B000001G6P","5","1","2002-04-30","ctbeuter","Mutter und Karajan - eine göttliche Verbindung!!","Eine gelungene Auswahl der schönsten Violinkonzerte auf musikalisch allerhöchstem Niveau. Für alle Mutter-Fans ein absolutes Must!"
"B000025FHD","5","1","2000-04-12","guest","Super,duper,supi,gut","Entschuldigung für die doch ziemlich banale Ausdrucksweise, aber diese CD ist einfach nur geil. Es ist Musik für jeden Geschmack, der italienische Musik mag, dabei. Einfach kaufen und hören."
"B00000JSAC","5","0","2004-06-10","whetzky","Detailreich und perfektionistisch.","Gute Aufnahmen mit der Musik von Schostakowitsch sind rar geworden.&lt;BR&gt;Wer eine sucht, findet sie in dieser Aufnahme."
"B0001BFIMI","5","37","2004-02-24","in-nomine","Zauberhaft!","Eine schönere Stimme im Register Kontratenor gibt es gegenwärtig nicht, ebensowenig eine so kongeniale, einfühlsame Musikalität wie sie sich in der Interaktion von La Fenice mit Philippe Jaroussky ausdrückt."
"B00000ARVL","5","0","2005-06-16","niouri","glueckwunsch","klasse cd mit einiger der banntesten songs, gute aufnahmqualitaet, nicht jedermans sache, meine allerdings in jedem fall. reinhoern, moegen, kaufen. wie schon vorher gesagt, rio stays in fashion..."
"B00009P55M","5","2","2003-08-01","guest","Eine CD die es wert ist!!!","Eine CD, die man mit großer Freude hört, und mit noch mehr Freude immer wieder hört und auch weiter empfiehlt. Sie gibt sehr viel und hat die volle Sternchenanzahl verdient. Man kann sie den ganzen Tag hören!!!!"
"B00003OO0L","5","5","2000-02-29","guest","A Great Experience","I read the book as I listened to the music and it was a great experience.What a good idea,both stand well on their own, but together,fantastic"
"B000BRBH90","5","0","2005-11-28","realpixy","hammmergeil","hab diese konzert in m&amp;#252;nchen gesehen und war einfach hin und weg - das beste popkonzert das ich je gesehen habe!!!!! - musste die dvd haben und bin super begeistert!!!! - 5 sterne zu recht!!!"
"B000BR4LJI","5","1","2005-12-01","detlefschleuss","Wirklich Livehaftig ...","Diese DVD bietet alles was sich ein Rock-, Bluesrock- oder Gitarrenmusik Fan wünscht. Großartige Livemusik von einem der großen Gitarristen. Kaufen und genießen..."
"B0009BOKLA","5","7","2005-10-31","donald_d","Spass an der Freud","Hört hört! Carlos Santana zieht auf dieser Scheibe erneut alle Register seines meisterlichen Könnens.&lt;BR&gt;Mit einer unglaublichen Leichtigkeit hat CS wieder einmal mit verschiedenen Grössen des Musikbusiness ein lockeres Album eingespielt, das vor Spielfreude nur so sprüht und für langen Hör- und Tanzgenuss steht.&lt;BR&gt;Mit schlafwandlerischer Sicherheit kombiniert CS Latino-Rhythmen aus den Siebzigern mit aktuellen Elementen und erschafft so erneut eine seiner typischen Klangwelten, die zwischen einfacher 'Feel-Good' Musik und spritzigen Tanzhausfegern mäandriert.&lt;BR&gt;Was mir auffällt:&lt;BR&gt;Gerade die unerwarteten Kombinationen (so zum 'Just Feel Better' mit Steven Tyler von Aerosmith oder 'Cry Baby Cry' mit Sean Paul und Joss Stone) überraschen angenehm und zeigen nicht nur CS, sondern auch die Gastmusiker in ganz neuem Licht.&lt;BR&gt;Wer gedacht hat, dass CS zum alten Eisen gehört, darf sich erneut eines Besseren belehren lassen.&lt;BR&gt;Fazit:&lt;BR&gt;Schön, dass nicht alle älteren Semester des Musikbusiness auf sichere Werte setzen und ihre Pension einspielen. Ich habe den Eindruck, dass CS dieses Album aus reinem 'Spass an der Freud' eingespielt hat."
"B000C5RRQI","5","2","2005-11-24","restless2007","Schon jetzt ein Depeche Mode Klassiker!","&quot;A Pain That I`m Used To&quot; geh&amp;#246;rt zu den st&amp;#228;rksten Songs auf dem aktuellem Album und ist f&amp;#252;r mich in Eing&amp;#228;ngigkeit und Aggression praktisch perfekt! Die Lyrics sind wieder mal Martin Gore typisch genial!&lt;P&gt;Ausserdem enth&amp;#228;lt die CD einen extra Song namens &quot;Newborn&quot;."
"B0002UYDB0","1","13","2004-11-17","guest","Sclechter als Live","Ich habe Udo Jürgens in den letzten 20 Jahren oft Live gesehen. Ich finde auch das Album es lebe das Laster live gut.&lt;BR&gt;In diesem Doppelalbum nun kann Udo nicht überzeugen"
"B000B5KEDM","5","0","2005-11-07","christian_kasel","Langes Warten","Es ist mir rätselhaft, warum man auf diese Aufnahmen so lange&lt;BR&gt;warten musste. 26 Jahre lang!&lt;P&gt;Es ist klar, dass man hier Abstriche an Sound und Bildqualität&lt;BR&gt;machen muß. Diese Aufnahme kommt allerdings spieltechnisch auch &lt;BR&gt;nicht an die Qualität der gleichnamigen Audio-CD heran.&lt;BR&gt;Entweder wurde die Audio-CD zu einem Zeitpunkt aufgenommen, an&lt;BR&gt;der die Musiker schon wesentlich besser eingespielt waren oder&lt;BR&gt;die Audio-CD wurde nachträglich mit zusätzlichen Spuren versehen.&lt;P&gt;Jedenfalls bin ich für diese DVD dankbar und deshalb 5 Sterne.&lt;P&gt;Vielleicht gibts ja irgendwann noch mehr ältere Konzerte von Mike&lt;BR&gt;auf DVD. Es muss ja nicht alles so perfekt wie z.B. &quot;Tubular &lt;BR&gt;Bells 2/3&quot; sein."
"B000095Z4B","5","1","2005-08-07","marcobunk","Genial!!!","Bombastischer Sound! Ein Genuß für alle Sinne!! Würde die Skala bis 100 gehen, die DVD hätte 'ne glatte 100 verdient!!"
"B000059X1E","5","15","2001-11-24","ole1880","f4 unplugged","vor 4 Wochen gekauft -&gt;&lt;BR&gt;50 Mal angesehen -&gt; gehört&lt;P&gt;Noch Fragen ?"
"B00007BHME","5","1","2005-06-02","dieter67","Sehr gut Videos von Anton Corbajn","I muss diese DVD emphemlen. Wenn sie eine gute Dolby 5.1--oder besser! haben, werden sie die Musik und Bilder ausgezeichnet finden. ag, Patrick aus Los Angeles, USA"
"B000BNDBMK","5","0","2005-11-26","shiningstar5","Hammergeil!","Einfach unbeschreiblich!&lt;BR&gt;Man bekommt einiges f&amp;#252;r sein Geld geboten! Einfach nur geil, geiler, Usher :)&lt;P&gt;Sehr informative DVD&amp;#x27;s und ein super Konzert!"
"B0001M65JC","4","2","2005-08-07","guest","Scorpions-unbreakable-live","Kraftvoll und rotzig, so wie wir die Scorps lieben. Nach der Acoustica DVD jetzt endlich eine DVD mit dem Ur-Scorpions-Sound"
"B00008OES9","5","11","2003-04-06","snuechter","Trifft jede rheinische Seele","Es ist zwar nicht nur etwas für Kölner oder Rheinländer, aber trifft deren Seele genau. Mit dieser DVD hat man die geniale Mischung aus Musik und der einzigartigen Geschichte von Wolfgang Niedecken und BAP vorliegen. Immer wieder schön! Der Kauf lohnt sich einfach, sofern man BAP, deren Musik, deren Lebensart oder deren Heimatstadt mag."
"B0000A0I94","4","2","2004-06-27","just4o-town","Für alle Backstreet Boys-Fans","Für alle Backstreet Boys-Fans gibt es jetzt die ultimative Video-Sammlung auf DVD. Schade nur, dass es nicht &quot;Behind the scenes&quot; und andere Genüsse auf DVD gibt. Für alle die, die&lt;P&gt; das Geschehen hinter den Kulissen nicht unbedingt interessiert, ist diese DVD ideal."
"B00005NYAY","5","2","2001-09-30","zopfy","Ein unbedingtes Muss für jeden Udo Jürgens Fan","Der Sound hört sich fast besser an als beim Konzert. Udo live und hautnah am Bildschirm, ein unvergessliches Erlebnis."
"B00079QXQO","5","1","2005-06-10","dark_sea","1A","Absolut empfehlenswert für jeden, der Schandmaul oder allgemein Musik in dieser Richtung mag! Tolles Konzert, nette Aufnahmen, guter Sound"
"B0006JJFG0","5","2","2005-10-15","nikibreininger","Perfekt","Muß jeder Dino Fan haben! Großartige Songs aus der Dean Martin Show, gute Bildqualität. Ich warte ungeduldig auf eine Fortsetzung mit Ausschnitten aus dieser großartigen Show."
"B0009MA9D2","5","2","2005-06-02","todesbote555","Endlich","Endlich erscheinen alle Videos von The Offspring. Hier ist wirklich alles drauf, sogar das nir auf einer LP veröffentliche &quot;Defy You&quot;. Hier sollte jeder Fan oder Halb-Fan sofort zugreifen."
"B0000AN347","5","0","2005-08-08","prozorov4","the best","das ist das beste konzert was je gemacht wurde.&lt;P&gt;Cher wir lieben dich&lt;P&gt;hammer &lt;P&gt;das muss für alle :)"
"B00008Y4KV","5","2","2004-03-28","digro12","Leider nur das eine Konzert","Nachdem ich mir auf das Erscheinungsgdatum genau das Album &quot;Zoom&quot; gekauft hatte, wartete ich gespannt auf die konkreten Daten der Life-Auftritte dieses phantastischen Musikers in Deutschland oder wenigstens Europa. Damit hätte sich für mich als Ostberliner vielleicht einmal der Wunsch des Life-Erlebnisses erfüllt. Aber leider wurde alles schlagartig abgeblasen bis auf das einzigste Konzert in L.A., das auch dann auf DVD erschien. Und das kann sich allemal sehen lassen in bezug auf Performance, der Technik, die man bei ELO wohl schon immer erwarten durfte wie auch die ganze Atmosphäre, die ich selbst auf dem Bildschirm noch mitbekam. Nun hoffe ich bloß, daß J.L. vielleicht doch noch mal life zu sehen ist..."
"B00007BKIY","4","3","2004-10-06","matio24","Die Toten Hosen","Es sind wirklich alle BEST OF Hits der Hosen auf dieser Scheibe enthalten !&lt;P&gt;Eis Muss für jeden Punk Rocker oder Toten Hosen Fan !"
"B0001CVJ3O","2","1","2005-09-17","himmi-jimmi","Guys, let your Dauerwelle grow again long!","2 Punkte nur, weil die Playlist super ist.&lt;BR&gt;Auch für ein Clubkonzert ist die Show zu lahm."
"B0009TA8F4","5","0","2005-10-03","oci197","sensationell !","Ich habe noch nie eine so grandiose Mischung aus musikalischer Perfektion und intensiver Präsentation gesehen(gehört)!&lt;BR&gt;Kaufen,staunen,geniessen....."
"B00005RT2S","5","5","2003-03-04","schroedt8","Absolute HammerDVD!","Eine super DVD des Unplugged-Konzerts. Erst durch die Qualität der DVD kommt die unglaubliche Stimme von Aaron Lewis so richtig zur Geltung. Diese DVD kann ich nur empfehlen!"
"B000079DFJ","5","2","2003-01-20","manfredfuhs","Mein Freund Miles","Mir hat diese DVD sehr gut gefallen, weil hier in kurzer Form von seinen treusten Wegbegleiter über sein Leben als Mensch und Musiker erzählt und berichtet wird."
"B00005RFHC","3","3","2004-02-09","guzzi-biker","Boneshaker - leicht gebremste Power","Die drei Sterne, die ich zu vergeben habe beziehen sich zum einen auf die Aufmachung der DVD wie auch auf das Konzert an sich. Sicherlich, ein Hammerkonzert, das man sich gönnen sollte, und als Motorhead-Fan praktisch der ersten Stunde ist die DVD/CD sicherlich eine Bereicherung in meiner Motorhead-Sammlung: Lemmy in Bestform, grölt seine Songs wie eh und je, die Show (vor allem mit dem Bomber) die ich schon sechs mal Live gesehen habe ist bombastisch. &lt;P&gt;Nun zu den Ärgernissen:&lt;P&gt;1. Das Konzert an sich: &lt;BR&gt;Wie gesagt, an den Songs und der Performance gibts nix auszusetzen. Aber wenn Lemmy schon Special Guests einlädt, dann sollte er Sie auch zum Zuge kommen lassen. Doro Pesch war eine angenehme Überraschung, allerdings war Sie dazu verdammt nur den Refrain mitzusingen, schade, die geniale Rocklady hätte mehr verdient. Besonders überrascht war ich vom Auftritt von &quot;Fast Eddy&quot; Clarke, dem Gitarristen der Ur-Besetzung (immer noch die beste, die es je gab: Lemmy, Fast Eddy Clarke und Philthy &quot;Animal&quot; Taylor!) leider durfte auch er nur zu wenig bringen. Und die Hammer Überraschung war natürlich beim letzten Stück &quot;Overkill&quot; der Gastauftritt von Brian May, Ex-&quot;Queen&quot;-Gitarrist und nach wie vor einer der besten. Leider aber durfte auch er nicht allzu viel von seinem fantastischen Talent zeigen. &lt;P&gt;2. Die DVD:&lt;P&gt;Einen dicken Pluspunkt gibt es für die beigefügte CD auf der das komplette Konzert in Dolby Surround gepresst ist. Die CD hat schon mehrmals mein Auto fast zum platzen gebracht.&lt;P&gt;Für die DVD gibt es aber 2 dicke Minus-Punkte:&lt;P&gt;-1: Der Sound ist nur in Stereo aufgenommen, nichtmal Dolby Surround, unverständlicherweise und extrem ärgerlich, da es, siehe oben, auf der CD ja so ist.&lt;P&gt;-2: Es gibt nur 2 Promo-Videos, dafür aber in einem sehr guten Surround Sound. Auch von dem Studio-Outtake hatte ich mir wesentlich mehr erhofft.&lt;P&gt;Schade eigentlich, dafür gibts aber auch nur die 3 Sterne. &lt;BR&gt;Bernd"
"B00005RFHC","3","0","2005-10-11","metalass3","Hammer Inhalt , unwürdiger Sound!","Für mich als eingefleichten Motörhead-Fan gibt's eigentlich nicht viel auszusetzen an &quot;Boneshaker&quot;! Super Setlist (Ein paar &quot;füller&quot; mogeln sich immmer mal rein..) , Lemmy in Bestform, spitzen Gäste und 'ne menge Bonusmaterial. Aber der Sound: was soll das? Wurde der Mixer von der schieren Soundlawine an die Wand gedrückt?? Die Gitarren dünn, das schlagzeug hat trotz Weltklasse-Drummer Mikkie überhaupt keinen &quot;Rums&quot; und von den Gästen (vorallem Brian May!) gibt's auch nicht viel zu hören. Ich bin normal kein Fan von Overdubs, aber hier hätte die eine oder andere Soundpolitur echt gut getan!&lt;BR&gt;Vergleicht man den Sound mit &quot;Everything louder..&quot; (der CD, nicht DVD!!) , ärgere ich mich einfach angesichts der spitzen leistung, die Lemmy &amp; Co hier bringen. Schade...."
"B000A7XJ2Y","2","1","2005-10-18","ruewid","Enttäuschend","Das neue Album der Stereos enttäuscht mich sehr. Es ruht aus auf Beyoncé-Beliebigkeiten, R&amp;B-Gesäusel, etwas Funkystuff der harmlosen Brand-New-Heavies-Art. Der Reiz der Stereo MC's war die Verschrobenheit, das Kaputte und Schamanische, psychedelische, treibende. Es war Hip Hop mit Indiehaltung. Sie waren immer mehr eine Art Happy Mondays des HipHop als eine wirkliche Hip-Hop-Band, auch wenn sie sich im Umfeld der Jungle Brothers bewegten und Sly Stone als Vorbild anführten. Wirklich stark war das 2001-Comeback &quot;Deep, Down &amp; Dirty&quot;. Auf &quot;Paradise&quot; finden sich nur wenige Stücke mit dieser Qualität, bspw. &quot;Float On&quot; oder das Titelstück.&lt;BR&gt;Das erste Mal enttäuscht von einer Stereo MC's-Platte. Hätte ich mir ersparen können. Aber ich habe ja vier andere von ihnen zu Hause, die sich anzuhören viel mehr lohnt!"
